Equip Id,Line Id,start date,radius username,,,SOUP MAC,SOUP Model
3490,3783,8/13/2009 18:00,3125461963@uscc.net,614227,Systech 7310,0080440E07DD,IPG/7310
3824,9166,4/14/2010 18:00,3125469320@uscc.net,640590,Systech 7310,0080440DA71A,IPG/7310
4106,5256,10/7/2009 22:00,3124377234@uscc.net,619893,Systech 7310,0080440E2D28,IPG/7310
4642,4056,8/27/2009 18:00,3125461927@uscc.net,641575,Systech 7310,0080440DE49C,IPG/7310
4769,4950,9/29/2009 18:00,3123887145@uscc.net,607987,Systech 7310,0080440E1541,IPG/7310
4775,5424,10/28/2009 22:00,3123889583@uscc.net,643629,Systech 7310,0080440DDE9B,IPG/7310
4844,4793,9/27/2009 18:00,9172618386@tsp18.sprintpcs.com,678099,Systech 7710CS,0080440EDC9D,IPG/7710
4871,4966,10/6/2009 18:00,3123887726@uscc.net,642881,Systech 7310,0080440DE27D,IPG/7310
4909,4787,9/27/2009 18:00,3126711299@uscc.net,607564,Systech 7310,0080440E168E,IPG/7310
5231,6742,12/28/2009 17:00,3122173584@uscc.net,643657,Systech 7310,0080440DE406,IPG/7310
5338,6184,12/2/2009 17:00,3125469377@uscc.net,616310,Systech 7310,0080440E1E15,IPG/7310
5579,7074,1/12/2010 17:00,3125469386@uscc.net,640641,Systech 7310,0080440DA50B,IPG/7310
5588,6042,12/2/2009 17:00,3125467618@uscc.net,641642,Systech 7310,0080440DE499,IPG/7310
5751,8091,3/2/2010 17:00,3126711162@uscc.net,642700,Systech 7310,0080440DE1B0,IPG/7310
7036,7130,9/18/2013 18:00,3125463084@uscc.net,607993,Systech 7310,0080440E154A,IPG/7310
7115,8966,3/30/2010 18:00,3126711178@uscc.net,613723,Systech 7310,0080440E1908,IPG/7310
7241,7215,1/19/2010 17:00,3123889126@uscc.net,642774,Systech 7310,0080440DDDC3,IPG/7310
7799,8886,3/30/2010 18:00,3122174690@uscc.net,608229,Systech 7310,0080440E15A0,IPG/7310
7827,9015,4/5/2010 18:00,3123888672@uscc.net,642338,Systech 7310,0080440DE395,IPG/7310
7880,10373,5/9/2010 18:00,3123887576@uscc.net,642597,Systech 7310,0080440DC9EB,IPG/7310
7991,8515,3/24/2010 18:00,3124372015@uscc.net,620397,Systech 7310,0080440E2C6B,IPG/7310
8133,9649,4/25/2010 18:00,3124371587@uscc.net,607815,Systech 7310,0080440E178C,IPG/7310
8139,9593,4/25/2010 18:00,3126711334@uscc.net,622032,Systech 7310,0080440DEEA4,IPG/7310
8187,9698,4/25/2010 18:00,3126712370@uscc.net,613981,Systech 7310,0080440E0A8F,IPG/7310
8250,9021,4/5/2010 18:00,3125467940@uscc.net,641421,Systech 7310,0080440DD8DC,IPG/7310
8537,8524,3/24/2010 18:00,3126712331@uscc.net,641087,Systech 7310,0080440DA6D1,IPG/7310
8583,8580,3/24/2010 18:00,9172438891@tsp18.sprintpcs.com,680938,Systech 7710CS,0080440E966C,IPG/7710
8696,28260,6/6/2012 18:00,3125462034@uscc.net,642170,Systech 7310,0080440DAF16,IPG/7310
8704,9599,4/25/2010 18:00,3124371719@uscc.net,613918,Systech 7310,0080440E05CA,IPG/7310
