billing_entity_name|line_id|start_date|end_date|last_connection
Transaction Equipment Corporation|1035|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1036|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1038|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1050|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1052|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1053|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1054|2009-02-23 17:00:00-07|2017-11-30 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1056|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1060|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1062|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1063|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1065|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1067|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1068|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1069|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1071|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1078|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1079|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1081|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1083|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
Transaction Equipment Corporation|1085|2009-02-23 17:00:00-07|2018-01-28 17:00:00-07|NO SESSION IN LAST 6 MONTHS
