equipment_id,line_id,start_date,end_date
12,82,2007-12-27,2008-02-23
12,58,2008-02-24,2008-06-19
12,774,2008-06-20,2008-10-21
12,2429,2009-07-14,2015-04-24
21,91,2007-12-26,2008-02-23
21,61,2008-02-24,2008-02-29
21,779,2008-06-20,2009-03-06
21,2431,2009-07-14,2012-08-31
22,344,2007-12-26,2008-02-23
22,60,2008-02-24,2008-02-29
22,780,2008-06-20,2009-03-06
22,106,2010-01-25,2010-08-16
24,93,2007-12-26,2008-02-23
24,63,2008-02-24,2008-06-19
24,777,2008-06-20,2008-10-21
24,2565,2008-10-22,
27,79,2007-12-27,2008-02-23
27,59,2008-02-24,2008-02-29
27,3818,2009-08-17,2009-11-04
27,5524,2009-11-05,2009-11-05
27,5528,2009-11-06,2011-09-13
56,350,2008-04-01,2009-01-31
56,719,2009-02-01,2009-02-02
56,720,2009-02-03,2009-02-04
56,22880,2011-09-21,2013-09-26
733,134,2008-06-09,2008-06-18
733,847,2008-06-19,2009-05-15
733,3804,2009-08-14,2012-02-13
733,36004,2013-09-20,2016-06-22
736,157,2008-06-09,2008-06-18
736,850,2008-06-19,2009-05-15
736,3887,2009-08-19,2010-07-07
736,2465,2010-07-29,2012-11-29
812,198,2008-08-05,2008-08-06
812,917,2008-09-19,2009-05-15
812,1953,2010-01-29,2010-05-04
812,2170,2010-07-09,2016-04-20
817,202,2008-08-05,2008-08-06
817,912,2008-09-19,2009-05-15
817,3781,2009-08-12,2012-02-13
817,36005,2013-09-20,2016-06-22
819,205,2008-08-05,2008-08-06
819,1612,2008-10-20,2011-11-01
819,24845,2012-01-05,2013-02-18
819,33175,2013-02-19,2018-05-03
833,216,2008-08-05,2008-08-06
833,877,2008-09-19,2009-05-15
833,2767,2009-08-17,2015-04-23
833,41668,2015-05-07,2017-03-17
862,220,2008-08-05,2008-09-18
862,900,2008-09-19,2009-05-15
862,3780,2009-08-12,2012-01-17
862,31622,2012-11-08,2018-01-29
888,256,2008-08-05,2008-08-14
888,857,2008-08-15,2009-05-15
888,3844,2009-08-19,2009-11-05
888,2342,2010-03-24,2014-02-13
940,943,2008-10-22,2009-05-15
940,3883,2009-08-19,2009-11-05
940,2075,2010-03-24,2010-07-08
940,2224,2010-07-09,2011-03-23
940,19907,2011-06-03,2016-07-06
1006,976,2008-10-28,2009-05-15
1006,4029,2009-08-24,2010-02-23
1006,2511,2010-04-01,2011-06-15
1006,24323,2011-11-30,2016-11-10
2395,2558,2009-05-19,2010-07-22
2395,12663,2010-07-23,2018-06-12
2395,46838,2018-06-13,2018-10-30
2395,47316,2018-10-31,
2773,289,2009-04-23,2009-05-15
2773,1481,2009-05-16,2011-09-19
2773,22534,2011-09-20,2012-02-13
2773,29653,2012-08-29,2018-01-29
2876,320,2009-05-01,2009-05-15
2876,1495,2009-05-16,2009-06-10
2876,2570,2009-06-23,2009-06-23
2876,4071,2009-08-24,2011-06-15
2916,339,2009-05-01,2009-05-15
2916,1429,2009-05-16,2009-06-10
2916,2482,2009-06-15,2010-04-02
2916,3987,2010-07-06,2014-10-20
3523,3611,2009-08-03,2010-02-11
3523,7335,2010-02-25,2011-08-03
3523,21306,2011-08-04,2012-07-26
3523,28842,2012-07-27,
3685,3761,2009-08-12,2012-02-13
3685,27443,2012-04-17,2013-07-16
3685,36380,2013-11-04,2015-04-23
3685,41967,2015-06-03,2018-10-03
4579,4337,2009-09-03,2009-09-28
4579,6679,2010-04-28,2010-05-09
4579,10354,2010-05-10,2010-11-30
4579,8244,2010-12-01,2018-09-12
4748,5275,2009-10-26,2009-11-03
4748,5532,2009-11-06,2014-02-04
4748,37426,2014-03-20,2015-05-14
4748,41878,2015-05-15,
4794,5307,2009-10-28,2014-12-26
4794,42034,2015-06-18,2015-06-19
4794,43473,2016-05-10,2016-07-14
4794,16564,2016-08-15,
4922,5293,2009-10-28,2010-02-09
4922,7490,2010-02-11,2012-01-11
4922,4572,2012-06-26,2012-09-27
4922,30434,2012-09-28,
5133,6595,2009-12-17,2009-12-28
5133,6598,2010-05-12,2010-05-13
5133,10650,2010-05-21,2010-05-21
5133,11236,2010-06-03,2017-06-26
5133,45329,2017-06-27,
5171,5768,2009-11-30,2010-07-08
5171,8196,2010-11-17,2014-02-24
5171,37317,2014-02-28,2017-06-05
5171,45171,2017-06-06,
5225,5603,2009-11-12,2010-06-21
5225,11659,2010-06-22,2011-08-10
5225,21430,2011-08-11,2017-01-11
5225,44488,2017-01-12,
5310,7051,2010-01-12,2010-10-11
5310,15307,2012-04-19,2016-05-31
5310,43541,2016-06-01,2017-04-24
5310,44965,2017-04-25,
5454,6020,2009-12-03,2011-05-02
5454,10549,2011-06-24,2012-07-30
5454,28954,2012-07-31,2013-09-23
5454,36016,2013-09-24,2017-12-04
6834,7892,2010-02-22,2010-06-21
6834,11660,2010-06-22,2011-06-06
6834,20069,2011-06-07,2015-06-20
6834,43760,2016-07-07,
7003,8144,2010-03-03,2011-02-27
7003,18349,2011-03-23,2013-04-04
7003,35337,2013-06-27,2013-06-27
7003,35347,2013-06-28,2017-03-02
7276,10903,2010-05-27,2012-05-21
7276,28432,2012-06-20,2013-07-17
7276,35509,2013-07-18,2014-03-22
7276,42103,2015-06-25,
7555,8245,2010-03-10,2011-06-06
7555,20070,2011-06-07,2011-08-10
7555,21432,2011-08-11,2017-01-11
7555,44490,2017-01-12,2017-11-14
8458,8979,2010-04-01,2011-02-27
8458,12399,2011-03-29,2011-07-04
8458,20808,2011-07-05,2015-08-17
8458,42426,2015-08-18,2018-05-21
8621,8978,2010-04-01,2011-05-09
8621,7933,2011-10-19,2012-07-30
8621,28923,2012-07-31,2013-06-06
8621,32665,2013-07-18,2016-12-16
11682,9828,2010-04-30,2015-02-20
11682,42035,2015-06-18,2015-06-19
11682,43264,2016-03-28,2016-08-17
11682,45249,2017-06-14,2017-06-30
11682,46236,2017-12-18,
12370,10210,2010-05-04,2010-05-16
12370,10490,2010-05-17,2010-08-09
12370,13050,2010-08-10,2013-01-24
12370,16274,2013-05-29,
13516,11943,2010-06-24,2010-09-07
13516,3619,2010-11-11,2012-02-13
13516,9593,2012-05-16,2012-05-16
13516,7823,2013-07-31,2015-12-09
14143,14054,2010-09-20,2011-01-25
14143,9815,2011-04-11,2015-05-29
14143,41954,2015-06-02,2015-07-05
14143,11640,2015-07-06,
14606,14009,2010-09-20,2015-05-29
14606,41947,2015-06-02,2016-02-23
14606,43261,2016-03-28,2016-08-17
14606,44926,2017-04-19,2017-04-19
15856,18113,2011-03-16,2013-01-24
15856,32305,2013-07-31,2013-08-01
15856,10448,2013-08-02,2017-06-26
15856,45326,2017-06-27,
15888,14631,2010-09-30,2010-11-10
15888,15369,2010-11-11,2015-05-29
15888,24610,2016-07-14,2016-08-31
15888,33312,2016-09-14,
16208,13870,2010-09-17,2011-01-25
16208,5846,2011-04-11,2015-05-29
16208,41952,2015-06-02,2015-07-05
16208,13414,2015-07-06,
17033,14632,2010-09-30,2010-11-10
17033,15398,2010-11-15,2014-02-24
17033,37273,2014-02-26,2018-01-01
17033,46296,2018-01-02,
17987,13026,2010-08-06,2010-08-25
17987,6734,2010-10-06,2010-11-15
17987,21911,2011-08-31,2012-10-29
17987,31530,2012-10-30,2014-04-24
18154,15633,2010-11-22,2012-12-26
18154,32472,2012-12-27,2013-09-23
18154,36017,2013-09-24,2015-05-10
18154,11617,2015-05-11,
19212,21308,2011-08-04,2011-10-09
19212,12469,2011-10-10,2015-08-29
19212,42526,2015-08-30,2015-09-09
19212,42557,2015-09-10,2018-08-27
19398,22010,2011-09-07,2011-09-15
19398,22385,2011-09-19,2012-11-20
19398,31852,2012-11-21,2013-04-22
19398,34419,2013-04-23,
20068,18101,2011-03-15,2011-03-15
20068,19493,2011-05-16,2011-07-04
20068,20770,2011-07-05,2012-08-31
20068,29714,2012-09-01,
20380,18056,2011-03-11,2011-03-22
20380,19557,2011-06-09,2011-06-30
20380,18312,2011-10-19,2011-10-20
20380,32860,2013-01-15,2013-09-18
20380,10521,2015-05-06,2016-10-04
20380,46413,2018-02-06,2018-02-12
20461,18007,2011-03-09,2011-03-29
20461,19473,2011-05-12,2011-06-14
20461,21341,2011-08-08,2014-11-06
20461,40172,2014-11-07,
22609,19376,2011-05-06,2013-06-23
22609,18521,2013-08-26,2013-08-28
22609,19632,2014-09-02,2014-09-18
22609,7542,2016-08-11,2016-08-15
23466,20284,2011-06-23,2011-06-27
23466,27317,2012-04-09,2012-04-23
23466,8228,2014-03-10,2015-01-30
23466,43996,2016-09-02,2016-09-02
23466,44008,2016-09-07,2017-05-01
23466,30533,2017-05-18,
23835,21388,2011-08-09,2014-12-30
23835,40518,2014-12-31,2015-06-24
23835,43734,2016-07-01,2016-07-12
23835,44008,2017-05-01,
26584,23849,2011-11-03,2011-12-20
26584,28378,2012-06-15,2014-02-24
26584,37268,2014-02-26,2018-01-07
26584,46322,2018-01-08,
26732,24151,2011-11-17,2014-09-15
26732,39925,2014-09-24,2016-05-31
26732,43609,2016-06-01,2017-04-24
26732,45011,2017-04-25,
27249,24745,2011-12-21,2014-02-24
27249,37267,2014-02-26,2017-06-05
27249,45169,2017-06-06,2017-06-06
27249,45198,2017-06-09,
28456,27579,2012-04-24,2012-04-24
28456,27591,2012-04-25,2018-07-10
28456,46981,2018-07-11,2018-07-12
28456,47089,2018-08-14,2018-08-15
29636,28723,2012-07-16,2012-09-11
29636,21406,2013-02-13,2014-12-30
29636,40514,2014-12-31,2015-06-24
29636,43735,2016-07-01,
31032,35399,2014-06-25,2015-06-18
31032,42077,2015-06-19,2018-03-02
31032,46470,2018-03-03,2018-03-04
31032,46483,2018-03-05,
32465,32529,2013-01-03,2014-01-14
32465,28091,2016-01-13,2016-09-22
32465,45081,2017-05-11,2017-10-30
32465,46722,2018-05-09,
32803,33215,2013-02-26,2013-02-26
32803,33363,2013-03-06,2017-05-10
32803,46501,2018-03-09,2018-03-29
32803,41501,2018-05-10,
32990,33535,2013-03-13,2014-10-24
32990,40165,2014-11-06,2017-01-30
32990,45251,2017-06-14,2017-07-28
32990,45571,2017-08-17,2017-08-19
32990,36398,2017-12-19,
33242,33375,2013-03-07,2015-09-25
33242,39021,2016-06-10,2016-07-12
33242,41596,2017-10-06,2017-10-06
33242,46421,2018-02-10,2018-08-15
33370,33650,2013-03-18,2013-03-19
33370,33691,2013-03-20,2013-03-24
33370,33728,2013-03-25,2016-06-05
33370,43613,2016-06-06,
33485,33693,2013-03-21,2014-10-07
33485,39973,2014-10-08,2014-10-16
33485,41098,2015-02-24,2015-02-24
33485,41312,2015-03-20,2015-03-21
33485,41919,2015-05-26,
33542,33937,2013-04-08,2016-07-18
33542,45738,2017-09-18,2017-09-21
33542,46525,2018-03-09,2018-03-14
33542,42581,2018-04-17,
34015,34370,2013-04-19,2014-04-03
34015,35459,2014-04-14,2014-04-15
34015,35399,2014-05-29,2014-06-24
34015,45262,2017-06-20,2018-03-02
34015,46453,2018-03-03,
34483,34700,2013-05-06,2016-11-25
34483,44585,2017-02-21,2017-06-28
34483,45485,2017-07-19,2017-08-09
34483,46506,2018-03-09,2018-06-12
34483,46841,2018-06-13,
34527,35246,2013-06-13,2015-09-09
34527,42599,2015-09-10,2017-12-28
34527,46532,2018-03-09,2018-03-29
34527,36557,2018-08-01,
34530,35241,2013-06-13,2015-09-09
34530,42596,2015-09-10,2016-01-09
34530,43671,2016-06-16,2016-06-23
34530,35704,2016-06-29,
34552,35251,2013-06-13,2015-09-09
34552,42603,2015-09-10,2017-12-28
