Serial Number,ESN,Static IP Address,Location ID,Model ,Connection Status,Last Connected Timestamp,Confirm Connection 4/24,Username
608344,F615D7AC,10.56.58.14,-93.59375 dBm (48%),Unassigned,Systech 7310,Active,YES,3124371659@uscc.net
613545,F615DAB7,10.56.57.230,-93.59375 dBm (48%),Unassigned,Systech 7310,Active,YES,3124375168@uscc.net
621940,F616EE96,10.56.80.77,-79.37500 dBm (90%),Unassigned,Systech 7310,Active,YES,3124377672@uscc.net
681907,A100000941E588,10.60.52.46,-83 dBm (68%),Unassigned,Systech 7700CS,Active,YES,9172430620@tsp17.sprintpcs.com
675745,A100000941E494,10.60.52.109,-91 dBm (50%),Unassigned,Systech 7700CS,Active,YES,9172631011@tsp18.sprintpcs.com
675714,A100000941E4A2,10.60.52.131,-75 dBm (86%),Unassigned,Systech 7700CS,Active,YES,9172631227@tsp17.sprintpcs.com
770138,A10000157EC1CD,10.60.82.72,,Sprint CFE,Active,No connections in last 3 months,NO,5665290324@tsp18.sprintpcs.com
770279,A10000157EC0EE,10.60.82.70,,Sprint CFE,Active,No connections in last 3 months,NO,5665290318@tsp17.sprintpcs.com
767739,A10000157ECA45,10.60.81.247,,Sprint CFE,Active,No connections in last 3 months,NO,5665290298@tsp17.sprintpcs.com
770147,A10000157EC132,10.60.82.10,,Sprint CFE,Active,No connections in last 3 months,NO,5665290292@tsp18.sprintpcs.com
765501,A10000157ECC68,10.60.82.12,,Sprint CFE,Active,No connections in last 3 months,NO,5665290274@tsp17.sprintpcs.com
770289,A10000157EC2FC,10.60.82.79,,Sprint CFE,Active,No connections in last 3 months,NO,5665290272@tsp18.sprintpcs.com
770122,A10000157EC172,10.60.82.84,,Sprint CFE,Active,No connections in last 3 months,NO,5665290270@tsp17.sprintpcs.com
770123,A10000157EC170,10.60.82.77,,Sprint CFE,Active,No connections in last 3 months,NO,5665290268@tsp18.sprintpcs.com
767872,A10000157EC8E3,10.60.82.78,,Sprint CFE,Active,No connections in last 3 months,NO,5665290264@tsp18.sprintpcs.com
770183,A10000157EC0D2,10.60.82.81,,Sprint CFE,Active,No connections in last 3 months,NO,5665290258@tsp17.sprintpcs.com
770255,A10000157EC10D,10.60.82.58,,Sprint CFE,Active,No connections in last 3 months,NO,5665290250@tsp17.sprintpcs.com
770097,A10000157EC144,10.60.82.64,,Sprint CFE,Active,No connections in last 3 months,NO,5665290240@tsp18.sprintpcs.com
767887,A10000157EC927,10.60.82.45,,Sprint CFE,Active,No connections in last 3 months,NO,5665290234@tsp17.sprintpcs.com
770323,A10000157EC1FB,10.60.82.40,,Sprint CFE,Active,No connections in last 3 months,NO,5665290230@tsp17.sprintpcs.com
770219,A10000157EC140,10.60.82.48,,Sprint CFE,Active,No connections in last 3 months,NO,5665290228@tsp18.sprintpcs.com
770225,A10000157EC09E,10.60.82.29,,Sprint CFE,Active,No connections in last 3 months,NO,5665290150@tsp17.sprintpcs.com
767908,A10000157EC888,10.60.82.23,,Sprint CFE,Active,No connections in last 3 months,NO,5665290146@tsp17.sprintpcs.com
640354,F614B82F,10.56.56.149,,Systech 7310,Active,No connections in last 3 months,NO,3122178820@uscc.net
641323,F614A4A3,10.56.54.20,,Systech 7310,Active,No connections in last 3 months,NO,3125468251@uscc.net
641182,F614A4DB,10.56.54.23,,Systech 7310,Active,No connections in last 3 months,NO,3125468290@uscc.net
641343,F614AA09,10.56.54.15,,Systech 7310,Active,No connections in last 3 months,NO,3125468194@uscc.net
641468,F614AA1E,10.56.54.26,,Systech 7310,Active,No connections in last 3 months,NO,3125468356@uscc.net
641279,F614AA82,10.56.54.21,,Systech 7310,Active,No connections in last 3 months,NO,3125468264@uscc.net
641386,F614AA88,10.56.54.25,,Systech 7310,Active,No connections in last 3 months,NO,3125468354@uscc.net
641481,F614AB05,10.56.54.24,,Systech 7310,Active,No connections in last 3 months,NO,3125468349@uscc.net
641504,F614AB14,10.56.54.22,TD238729,Systech 7310,Active,No connections in last 3 months,NO,3125468276@uscc.net
641389,F614AB1C,10.56.54.17,,Systech 7310,Active,No connections in last 3 months,NO,3125468203@uscc.net
641154,F614F0F0,10.56.56.25,,Systech 7310,Active,No connections in last 3 months,NO,3125468313@uscc.net
641455,F6149196,10.56.54.8,,Systech 7310,Active,No connections in last 3 months,NO,3125468154@uscc.net
641341,F614A419,10.56.53.236,,Systech 7310,Active,No connections in last 3 months,NO,3125467893@uscc.net
641418,F614A41A,10.56.53.244,,Systech 7310,Active,No connections in last 3 months,NO,3125468008@uscc.net
641439,F614A434,10.56.54.7,CI012471,Systech 7310,Active,No connections in last 3 months,NO,3125468151@uscc.net
641337,F614A475,10.56.52.69,TD230188,Systech 7310,Active,No connections in last 3 months,NO,3125468179@uscc.net
641394,F614A4DF,10.56.53.243,,Systech 7310,Active,No connections in last 3 months,NO,3125468000@uscc.net
641438,F614A4E4,10.56.54.10,,Systech 7310,Active,12/20/2017 18:24,NO,3125468157@uscc.net
641338,F614A537,10.56.53.242,,Systech 7310,Active,1/19/2018 15:15,NO,3125467999@uscc.net
641383,F614AA79,10.56.54.9,,Systech 7310,Active,No connections in last 3 months,NO,3125468155@uscc.net
641322,F614AA80,10.56.53.237,,Systech 7310,Active,1/8/2018 12:02,NO,3125467904@uscc.net
641450,F614F0F3,10.56.54.13,,Systech 7310,Active,No connections in last 3 months,NO,3125468167@uscc.net
641371,F614F112,10.56.53.248,,Systech 7310,Active,No connections in last 3 months,NO,3125468022@uscc.net
641370,F614F113,10.56.53.241,,Systech 7310,Active,3/8/2018 5:05,NO,3125467951@uscc.net
641326,F614F13B,10.56.53.240,,Systech 7310,Active,No connections in last 3 months,NO,3125467946@uscc.net
641348,F614F15A,10.56.54.14,,Systech 7310,Active,1/29/2018 12:48,NO,3125468170@uscc.net
641803,F6158914,10.56.56.6,,Systech 7310,Active,No connections in last 3 months,NO,3125467707@uscc.net
641766,F6158882,10.56.52.1,TD234872,Systech 7310,Active,No connections in last 3 months,NO,3122172837@uscc.net
641544,F615888C,10.56.53.230,,Systech 7310,Active,No connections in last 3 months,NO,3125467531@uscc.net
641642,F61588DF,10.56.53.128,,Systech 7310,Active,1/8/2018 19:06,NO,3125467618@uscc.net
641711,F615881C,10.56.57.119,,Systech 7310,Active,No connections in last 3 months,NO,3125467586@uscc.net
641604,F61588F5,10.56.53.231,CI013157,Systech 7310,Active,No connections in last 3 months,NO,3125467533@uscc.net
643028,F6158AB0,10.56.56.92,,Systech 7310,Active,No connections in last 3 months,NO,3123880103@uscc.net
643095,F6158A94,10.56.52.5,TD238687,Systech 7310,Active,No connections in last 3 months,NO,3123880741@uscc.net
642134,F6158AA1,10.56.54.36,TD230018,Systech 7310,Active,No connections in last 3 months,NO,3128548445@uscc.net
642110,F6158ADE,10.56.54.32,TD232478,Systech 7310,Active,No connections in last 3 months,NO,3128541935@uscc.net
642114,F6158ABE,10.56.54.29,TD230558,Systech 7310,Active,No connections in last 3 months,NO,3128541684@uscc.net
642111,F6158ACB,10.56.54.28,TD238758,Systech 7310,Active,No connections in last 3 months,NO,3128541337@uscc.net
642122,F6158AE2,10.56.53.228,CI013564,Systech 7310,Active,No connections in last 3 months,NO,3125467372@uscc.net
642127,F6158AA6,10.56.53.227,TD230097,Systech 7310,Active,No connections in last 3 months,NO,3125467366@uscc.net
641946,F6158977,10.56.53.221,TD235529,Systech 7310,Active,No connections in last 3 months,NO,3125467353@uscc.net
642109,F6158ACD,10.56.53.220,CI011881,Systech 7310,Active,1/29/2018 9:57,NO,3125467331@uscc.net
642279,F6158AD3,10.56.52.163,TD228306,Systech 7310,Active,No connections in last 3 months,NO,3123888497@uscc.net
