 line_id | active_flag |       start_date       | end_date |        radius_username         | equipment_id |    esn_hex     | serial_number 
---------+-------------+------------------------+----------+--------------------------------+--------------+----------------+---------------
   10012 | t           | 2010-04-29 18:00:00-06 |          | 3122172789@uscc.net            |        12210 | F615C759       | 613633
   16114 | t           | 2010-12-15 17:00:00-07 |          | 3123889517@uscc.net            |        16263 | F616EE17       | 621636
    9120 | t           | 2010-04-12 18:00:00-06 |          | 3123889696@uscc.net            |         7939 | F615D6E6       | 608061
    6224 | t           | 2009-12-02 17:00:00-07 |          | 3124370962@uscc.net            |         5305 | F6158BDB       | 641890
    7410 | t           | 2010-02-04 17:00:00-07 |          | 3124375403@uscc.net            |         5733 | F6157D39       | 642763
    8561 | t           | 2010-03-24 18:00:00-06 |          | 3124376028@uscc.net            |         8604 | F615D399       | 607438
   11128 | t           | 2010-05-27 18:00:00-06 |          | 3124377031@uscc.net            |        12405 | F615C9DF       | 614230
   15459 | t           | 2010-11-15 17:00:00-07 |          | 3125462723@uscc.net            |        16690 | F616EC3F       | 620060
   20825 | t           | 2011-07-04 18:00:00-06 |          | 3125467677@uscc.net            |         7939 | F615D6E6       | 608061
    7152 | t           | 2010-01-13 17:00:00-07 |          | 6462410806@tsp17.sprintpcs.com |         7232 | F615C30A       | 606194
    8156 | t           | 2010-03-02 17:00:00-07 |          | 6462429777@tsp18.sprintpcs.com |         7319 | F615B794       | 605984
   11130 | t           | 2010-05-27 18:00:00-06 |          | 6463423614@tsp17.sprintpcs.com |        11794 | F615C2EE       | 613824
   27478 | t           | 2012-04-17 18:00:00-06 |          | 6465443062@tsp17.sprintpcs.com |        28471 | A100000942DFAB | 699483
   18841 | t           | 2011-04-12 18:00:00-06 |          | 9172721635@tsp17.sprintpcs.com |        22189 | A100000941CD98 | 669629
   25818 | t           | 2012-01-10 17:00:00-07 |          | 9174067580@tsp17.sprintpcs.com |        27262 | A10000094261D4 | 688592
   27682 | t           | 2012-05-02 18:00:00-06 |          | 9175318927@tsp17.sprintpcs.com |        28613 | A100000942C635 | 699418
   13350 | t           | 2010-08-29 18:00:00-06 |          | 9176534840@tsp17.sprintpcs.com |        20160 | F61782FD       | 622730
   19050 | t           | 2011-04-25 18:00:00-06 |          | 9176846951@tsp17.sprintpcs.com |        28471 | A100000942DFAB | 699483
(18 rows)

