SET
serial_number|model_number2|esn_hex
00042D03A558|DC-WAN-T311-A|A0000033617F29
00042D05E08E|WR11-C200-DE1-SU|A10000458112FD
00042D05E092|WR11-C200-DE1-SU|A1000045811864
00042D05E099|WR11-C200-DE1-SU|A10000458058E7
00042D05E09B|WR11-C200-DE1-SU|A1000045811870
00042D05E09D|WR11-C200-DE1-SU|A1000045805EB9
00042D05E09E|WR11-C200-DE1-SU|A1000045811645
00042D05E0A7|WR11-C200-DE1-SU|A1000045805BB6
00042D05E0AE|WR11-C200-DE1-SU|A1000045806F7E
00042D05E0B6|WR11-C200-DE1-SU|A1000045811590
00042D05E0BF|WR11-C200-DE1-SU|A1000045805F08
00042D05E0C2|WR11-C200-DE1-SU|A10000458115D2
00042D05E105|WR11-C200-DE1-SU|A1000045811C8F
00042D05E124|WR11-C200-DE1-SU|A1000045811891
00042D05E139|WR11-C200-DE1-SU|A1000045805CB1
00042D05E155|WR11-C200-DE1-SU|A10000458116D8
00042D05E15D|WR11-C200-DE1-SU|A10000458117D1
00042D05E161|WR11-C200-DE1-SU|A1000045805F87
00042D05E165|WR11-C200-DE1-SU|A100004581167E
00042D05E244|WR11-C200-DE1-SU|A100004581159D
011201|DC-WAN-T311-A|A000003361FC5D
0583856|WR21-EVE|89148000002683906637
238642|DC-WAN-T311-A|A0000033617EA0
238735|DC-WAN-T311-A|A000003361273E
238847|WR21-ESP|A000003361271B
238975|DC-WAN-T311-A|A0000033617F24
240870|DC-WAN-T311-A|A0000033613656
243901|DC-WAN-T311-A|A0000033614968
244133|WR21-ESP|A0000033615828
244382|DC-WAN-T311-A|A00000336153FF
258348|DC-WAN-T311-A|A000003361A242
258459|DC-WAN-T311-A|A000003361A2EE
258478|DC-WAN-T311-A|A000003361A2E6
258481|DC-WAN-T311-A|A000003361A2E0
258485|DC-WAN-T311-A|A000003361A2E1
258487|DC-WAN-T311-A|A000003361A2FF
258488|DC-WAN-T311-A|A000003361A308
258498|DC-WAN-T311-A|A000003361A313
258511|DC-WAN-T311-A|A000003361AA84
259987|DC-WAN-T311-A|A000003361A0AB
260021|DC-WAN-T311-A|A000003361A2EA
260052|DC-WAN-T311-A|A000003361AA79
260182|DC-WAN-T311-A|A000003361AA74
261864|DC-WAN-T311-A|A000003361BB1D
262191|DC-WAN-T311-A|A000003361AAFE
262192|DC-WAN-T311-A|A000003361AA9E
262194|DC-WAN-T311-A|A000003361AA7B
262196|DC-WAN-T311-A|A000003361AA77
262198|DC-WAN-T311-A|A000003361AA61
262200|DC-WAN-T311-A|A000003361AA8B
262203|DC-WAN-T311-A|A000003361AA87
262207|DC-WAN-T311-A|A000003361AA73
262209|DC-WAN-T311-A|A000003361AA7D
262210|DC-WAN-T311-A|A000003361AA9C
262213|DC-WAN-T311-A|A000003361AA86
262222|DC-WAN-T311-A|A000003361AA81
262227|DC-WAN-T311-A|A000003361AA99
262244|DC-WAN-T311-A|A000003361A9E9
262272|DC-WAN-T311-A|A000003361AA82
262284|DC-WAN-T311-A|A000003361AA9B
262343|DC-WAN-T311-A|A000003361AA75
262497|DC-WAN-T311-A|A000003361AC0A
262505|DC-WAN-T311-A|A0000033619B7F
262709|DC-WAN-T311-A|A000003361B91E
262711|DC-WAN-T311-A|A000003361B91D
262712|DC-WAN-T311-A|A000003361B908
262839|DC-WAN-T311-A|A000003361B922
262880|DC-WAN-T311-A|A000003361B90A
263087|DC-WAN-T311-A|A000003361BB0E
263115|DC-WAN-T311-A|A000003361B91F
263786|DC-WAN-T311-A|A000003361B82F
263792|DC-WAN-T311-A|A000003361B85B
263801|DC-WAN-T311-A|A000003361B828
263817|DC-WAN-T311-A|A000003361B8CE
264018|DC-WAN-T311-A|A000003361BB4C
264124|DC-WAN-T311-A|A000003361B840
264125|DC-WAN-T311-A|A000003361B82A
264137|DC-WAN-T311-A|A000003361B826
264158|DC-WAN-T311-A|A000003361B835
265058|DC-WAN-T311-A|A000003361AA72
265059|DC-WAN-T311-A|A000003361AA8A
265071|DC-WAN-T311-A|A000003361AA68
265073|DC-WAN-T311-A|A000003361AA47
